country,date,leverage,lev_growth
NZ,2011 Q2,1.5203320130444886,-0.030275680976644237
PL,2011 Q2,1.0660100664707548,0.054789266745631116
PT,2011 Q2,1.8330890132442734,-0.005533031724225479
RO,2011 Q2,1.2482426802015858,0.03849212153316994
RU,2011 Q2,1.1233279228404565,0.03272928345772774
SE,2011 Q2,2.2205792151191273,0.042266823208634285
SG,2011 Q2,0.8513463896874618,0.0266310883360239
SI,2011 Q2,1.634395972019707,-0.013524950557246784
SK,2011 Q2,1.0083251661480592,0.018202404442909548
TH,2011 Q2,1.0255457898865605,0.0216640095288676
TR,2011 Q2,0.9452461809936699,0.06064127364035088
US,2011 Q2,0.9473043892276282,-0.027764118203268517
ZA,2011 Q2,1.1574534350148868,-0.018028619744335117
AR,2011 Q3,0.7534033588399542,0.059030865800482446
AT,2011 Q3,1.317034531225805,-0.008382111947207616
AU,2011 Q3,1.4703215282740671,-0.031094609374479942
BE,2011 Q3,0.6138349752045688,-2.8238021854909423e-4
BG,2011 Q3,1.1071050618697535,-0.03499964590553972
BO,2011 Q3,0.8604126351337663,0.0030153144077172955
BR,2011 Q3,1.1317354851024262,0.0031460687065920645
BY,2011 Q3,1.502779793554025,-0.10312558844702036
CA,2011 Q3,0.9858007937315562,-0.00109147609146365
CH,2011 Q3,1.1190488650636183,-0.034911193272851415
CL,2011 Q3,1.605217146032781,0.012910956218302738
CN,2011 Q3,2.632793877075671,0.18781504106409308
CO,2011 Q3,1.7783179732219738,0.06918202382598149
CR,2011 Q3,1.8865728536799695,0.10725623433619536
CY,2011 Q3,1.073806833000087,0.028792953008628386
CZ,2011 Q3,0.8065319901180985,0.0014786411342082584
DE,2011 Q3,1.1873057664478,-0.02054837703495127
DK,2011 Q3,3.64460502078838,-0.056455667505159735
EE,2011 Q3,1.5207737209568502,-0.06901833953464331
ES,2011 Q3,1.7804607384992717,0.03199273732486474
FI,2011 Q3,1.394441117135292,-0.032462348638041094
FR,2011 Q3,1.2611198227835148,-0.018204596294665087
GB,2011 Q3,1.3730880487289647,-0.002946885381262865
GR,2011 Q3,1.3343696489726027,0.03150308562425708
HR,2011 Q3,1.2261211298552652,0.015355149249946631
HU,2011 Q3,1.2100489075042005,0.012199161028977334
ID,2011 Q3,0.8407267911498715,0.01771180542939521
IE,2011 Q3,0.9909396667046466,0.02010727654104949
IL,2011 Q3,1.0934179826514088,-0.021584751959582427
IS,2011 Q3,1.5489577908540497,-0.33608240163055036
IT,2011 Q3,1.3687437313461375,0.01330332310912774
JP,2011 Q3,0.47809114193995866,0.005312695085288144
KR,2011 Q3,1.1523353071454316,0.013957995815067292
LT,2011 Q3,1.3984873949579832,-0.020163228161913516
LU,2011 Q3,0.314588406676024,-0.031081571841698852
LV,2011 Q3,2.0197226870666984,0.014863139834270012
MT,2011 Q3,1.0691084995741897,3.870779387435963e-4
MX,2011 Q3,0.7272672715337098,-2.6885965203760076e-4
MY,2011 Q3,0.8852591368424255,-8.837792136895395e-5
NL,2011 Q3,1.1875429048833426,-0.023012392452520958
